Downloaded from wid.world on 02-02-2023 at 19:37:12
Percentile;Year;"shweal_z_TR
Net personal wealth
Top 1% | share | adults | equal split
Turkey"
p99p100;1995;0.4506
p99p100;1996;0.4613
p99p100;1997;0.4621
p99p100;1998;0.4709
p99p100;1999;0.4619
p99p100;2000;0.4782
p99p100;2001;0.4769
p99p100;2002;0.4759
p99p100;2003;0.4427
p99p100;2004;0.4142
p99p100;2005;0.3704
p99p100;2006;0.3621
p99p100;2007;0.345
p99p100;2008;0.3676
p99p100;2009;0.3893
p99p100;2010;0.386
p99p100;2011;0.3874
p99p100;2012;0.3794
p99p100;2013;0.3771
p99p100;2014;0.3761
p99p100;2015;0.3756
p99p100;2016;0.3752
p99p100;2017;0.3743
p99p100;2018;0.3733
p99p100;2019;0.3725
p99p100;2020;0.372
p99p100;2021;0.3712
