Downloaded from wid.world on 02-02-2023 at 19:38:35
Percentile;Year;"shweal_z_TR
Net personal wealth
Top 1% | share | adults | equal split
Turkey";"sptinc_z_TR
Pre-tax national income 
Top 1% | share
Turkey"
p99p100;1995;0.4506;0.215
p99p100;1996;0.4613;0.216
p99p100;1997;0.4621;0.2169
p99p100;1998;0.4709;0.2178
p99p100;1999;0.4619;0.2187
p99p100;2000;0.4782;0.2195
p99p100;2001;0.4769;0.2204
p99p100;2002;0.4759;0.2212
p99p100;2003;0.4427;0.2156
p99p100;2004;0.4142;0.2095
p99p100;2005;0.3704;0.1816
p99p100;2006;0.3621;0.1717
p99p100;2007;0.345;0.1658
p99p100;2008;0.3676;0.1772
p99p100;2009;0.3893;0.1906
p99p100;2010;0.386;0.1934
p99p100;2011;0.3874;0.1864
p99p100;2012;0.3794;0.1925
p99p100;2013;0.3771;0.1833
p99p100;2014;0.3761;0.2027
p99p100;2015;0.3756;0.2091
p99p100;2016;0.3752;0.1928
p99p100;2017;0.3743;0.2061
p99p100;2018;0.3733;0.2038
p99p100;2019;0.3725;0.1903
p99p100;2020;0.372;0.2041
p99p100;2021;0.3712;0.1878
