Downloaded from wid.world on 02-02-2023 at 19:43:13
Percentile;Year;"sptinc_z_TR
Pre-tax national income 
Bottom 50% | share | adults | equal split
Turkey";"shweal_z_TR
Net personal wealth
Bottom 50% | share | adults | equal split
Turkey"
p0p50;1995;0.1218;0.008
p0p50;1996;0.122;0.0078
p0p50;1997;0.1223;0.0078
p0p50;1998;0.1226;0.0076
p0p50;1999;0.1229;0.0077
p0p50;2000;0.1232;0.0074
p0p50;2001;0.1235;0.0075
p0p50;2002;0.1237;0.0075
p0p50;2003;0.1273;0.0102
p0p50;2004;0.1326;0.0192
p0p50;2005;0.1417;0.0328
p0p50;2006;0.148;0.0357
p0p50;2007;0.1503;0.0387
p0p50;2008;0.1475;0.0342
p0p50;2009;0.1398;0.0285
p0p50;2010;0.1461;0.03
p0p50;2011;0.1452;0.0295
p0p50;2012;0.1452;0.0312
p0p50;2013;0.1513;0.0316
p0p50;2014;0.1443;0.0316
p0p50;2015;0.142;0.0317
p0p50;2016;0.1392;0.0317
p0p50;2017;0.1381;0.0318
p0p50;2018;0.1368;0.0318
p0p50;2019;0.1437;0.0318
p0p50;2020;0.1372;0.0319
p0p50;2021;0.1418;0.0319
