Downloaded from wid.world on 02-02-2023 at 19:30:43
Percentile;Year;"sptinc_z_TR
Pre-tax national income 
Top 10% | share
Turkey";"shweal_z_TR
Net personal wealth
Top 10% | share | adults | equal split
Turkey"
p90p100;1995;0.5478;0.7607
p90p100;1996;0.5484;0.7654
p90p100;1997;0.549;0.7658
p90p100;1998;0.5496;0.7697
p90p100;1999;0.5502;0.7658
p90p100;2000;0.5508;0.773
p90p100;2001;0.5514;0.7724
p90p100;2002;0.5519;0.772
p90p100;2003;0.5457;0.7533
p90p100;2004;0.5271;0.7241
p90p100;2005;0.502;0.6771
p90p100;2006;0.4922;0.6663
p90p100;2007;0.4838;0.6513
p90p100;2008;0.4956;0.6724
p90p100;2009;0.5127;0.6944
p90p100;2010;0.5077;0.6898
p90p100;2011;0.5101;0.6915
p90p100;2012;0.5105;0.6845
p90p100;2013;0.5051;0.6826
p90p100;2014;0.5137;0.6821
p90p100;2015;0.5208;0.6816
p90p100;2016;0.5239;0.6814
p90p100;2017;0.5317;0.681
p90p100;2018;0.532;0.6805
p90p100;2019;0.5144;0.6801
p90p100;2020;0.5303;0.6799
p90p100;2021;0.5168;0.6795
p0p50;1995;0.1218;0.008
p0p50;1996;0.122;0.0078
p0p50;1997;0.1223;0.0078
p0p50;1998;0.1226;0.0076
p0p50;1999;0.1229;0.0077
p0p50;2000;0.1232;0.0074
p0p50;2001;0.1235;0.0075
p0p50;2002;0.1237;0.0075
p0p50;2003;0.1273;0.0102
p0p50;2004;0.1326;0.0192
p0p50;2005;0.1417;0.0328
p0p50;2006;0.148;0.0357
p0p50;2007;0.1503;0.0387
p0p50;2008;0.1475;0.0342
p0p50;2009;0.1398;0.0285
p0p50;2010;0.1461;0.03
p0p50;2011;0.1452;0.0295
p0p50;2012;0.1452;0.0312
p0p50;2013;0.1513;0.0316
p0p50;2014;0.1443;0.0316
p0p50;2015;0.142;0.0317
p0p50;2016;0.1392;0.0317
p0p50;2017;0.1381;0.0318
p0p50;2018;0.1368;0.0318
p0p50;2019;0.1437;0.0318
p0p50;2020;0.1372;0.0319
p0p50;2021;0.1418;0.0319
p99p100;1995;0.215;
p99p100;1996;0.216;
p99p100;1997;0.2169;
p99p100;1998;0.2178;
p99p100;1999;0.2187;
p99p100;2000;0.2195;
p99p100;2001;0.2204;
p99p100;2002;0.2212;
p99p100;2003;0.2156;
p99p100;2004;0.2095;
p99p100;2005;0.1816;
p99p100;2006;0.1717;
p99p100;2007;0.1658;
p99p100;2008;0.1772;
p99p100;2009;0.1906;
p99p100;2010;0.1934;
p99p100;2011;0.1864;
p99p100;2012;0.1925;
p99p100;2013;0.1833;
p99p100;2014;0.2027;
p99p100;2015;0.2091;
p99p100;2016;0.1928;
p99p100;2017;0.2061;
p99p100;2018;0.2038;
p99p100;2019;0.1903;
p99p100;2020;0.2041;
p99p100;2021;0.1878;
